"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1085","Actacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Subunit","DNA","2 months to 6 years","Act-HIB reconstituted with TRIPACEL is Diphtheria, tetanus, acellular pertussis, Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Canada","2001","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","White to off-white suspension","Three dose immunization series, interval of 2 months, followed by a fourth dose.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis and invasive Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","Thailand FDA","Aluminium phosphate","For diphtheria, Hib and acellular pertussis.","Injection site tenderness, swelling, redness, fever, fussiness, irritability, less active, eating less, crying, diarrhoea.","NA","Combination doses","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=761","DTaP-Hib","https://www.fda.moph.go.th/sites/drug/Summary/2C_25_44_N.pdf"
"1086","Quinvaxem inj.","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Subunit","DNA","From 6 weeks","DTwP-HepB-Hib vaccine.","Berna Biotech Korea Corp.","Korea","2006","Approved","An obligate anaerobic bacillus, which is gram positive.","Predefined protective antibody level was 100% tetanus.","Homogeneous liquid","Primary vaccination : 3 doses of 0.5 mL each and one booster dose of 0.5 mL at 15-18 months.","Immunostimulants","Intramuscular","Primary and booster immunisation against diphtheria, tetanus, pertussis, hepatitis B, and invasive illness caused by H. influenzae type b.","Distributed by: GlaxoSmithKline Pharmaceuticals Limited, India","WHO pre-qualified","Aluminium phosphate","For diphtheria, tetanus, pertussis and hepatitis B recombinant.","Temporary swelling, tenderness and redness together with fever, feeding disorders, sleepiness, irritability.","NA","Both","NA","22889824","NA","https://india-pharma.gsk.com/media/787410/quinvaxem-with-gsk-as-distributor.pdf","DTwP-HepB-Hib","https://www.who.int/immunization_standards/vaccine_quality/pq_283_dtphepbhib_1dose_cPAD_Crucell_Korea_PI.pdf"
"1087","EasyFive-TT","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 6 weeks","Pentavalent vaccine (DTwP-HepB-Hib).","Panacea Biotech Ltd.","India","2009","Approved","An obligate anaerobic bacillus, which is gram positive.","The anti-tetanus seroprotection rate was 99.0%.","Sterile and uniform suspension","First dose as early as 6 weeks and two subsequent doses given at 4 week interval.","NA","Intramuscular","Immunization against diphtheria, tetanus, whole cell pertussis, hepatitis B and Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Panacea Biotech Ltd, India","WHO","Aluminium phosphate","For diphtheria, Hib, whole cell pertussis, hepatitis B.","Temporary swelling, tenderness and redness together with fever, feeding disorders, sleepiness, irritability.","NA","Combination doses","NA","NA","NA","https://www.who.int/immunization_standards/vaccine_quality/pq_270_penta_panacea_10dose_product_insert.pdf?ua=1","NA","https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadSmPC/1850ml.pdf"
"1088","Pediacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","Over 6 weeks","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine and haemophilus b conjugate vaccine \n(Tetanus protein conjugate).","Sanofi Pasteur Limited","Canada","2004","Approved","An obligate anaerobic bacillus, which is gram positive.","Anti-tetanus seroprotection rate was over 99.2% after a three-dose primary series.","White to off-white suspension for injection","Primary vaccination: Two or three dose series, gap of at least 1 month.\nBooster vaccination: Single dose, 6 months after the last dose.","Development of neutralizing antibodies to tetanus toxin :\nat least 0.01 IU/mL : Minimum protective level.\nat least 0.1 IU/mL : Protective\n1.0 IU/mL : Long term protective","Intramuscular","Immunization against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","EU marketing authorisation","NA","Aluminium phosphate","For diphtheria, tetanus, pertussis, poliomyelitis and Hib.","Redness, swelling or tenderness, irritability, less activity, vomiting, unusual high-pitched crying, fever, appetite loss, diarrhoea.","NA","Combination doses","NA","21999652","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00015723.PDF"
"1089","Tripacel","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 months to 6 years","Diphtheria, tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur Limited","Canada","1998","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","White to off-white suspension for injection","Four dose series with 3 doses at gap of 2 months, followed by a booster dose 6 to 12 months after the third dose.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","Thailand FDA","Aluminium phosphate","Also for diphtheria and pertussis.","Drowsiness, injection site tenderness, swelling, redness, fever, irritability, decreased feeding.","NA","Combination doses","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_18_41_N.pdf","DTaP","NA"
"1090","Tetravac or Tetravac Acellulaire","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 to 24 months","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine, adsorbed."," Sanofi Pasteur","France","NA","Approved","An obligate anaerobic bacillus, which is gram positive.","NA"," Suspension for injection","Schedule 1: Three primary doses and one booster.\nSchedule 2: Three primary doses with no booster.","NA","Intramuscular","NA","Marketing Authorisation Holder : Sanofi Pasteur Europe","Member States of the EEA","Aluminium hydroxide","For pertussis, diphtheria and poliomyelitis.","Loss of appetite, irritability, abnormal crying, drowsiness, headache, vomiting, myalgia, redness, pain, swelling, fever and malaise.","NA","Combination (3 or 4 doses)","NA","NA","NA","https://www.drugs.com/uk/tetravac-suspension-for-injection-leaflet.html","NA","NA"
"1091","Boostrix Polio","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 4 years","Combined diphtheria, tetanus, acellular pertussis and enhanced inactivated polio vaccine. ","GlaxoSmithKline Biologicals","Belgium","2007","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Booster vaccination against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing Authorisation Holder : GlaxoSmithKline (Thailand) Ltd. ","Thailand FDA","Aluminium hydroxide and aluminium phosphate","For acellular pertussis, diphtheria and inactivated poliovirus.","Somnolence, injection site reactions, headache, malaise and fatigue.","NA","Single dose","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_14_50_NB_BOOSTRIX%20POLIO.pdf","NA","NA"
"1092","Td-pur","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 5 years","Combination of tetanus toxoid and diphtheria toxoid.","Novartis vaccine Diagnostics GmbH & Co. KG.","NA","2005","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Whitish, turbid suspension","Primary Immunisation: Three doses.\nBooster: At 10 year intervals.","NA","Intramuscular","Immunisation against tetanus and diphtheria.","Marketing Authorisation Holder : Biogenetech Co., Ltd., Thailand","Thailand FDA","Aluminium hydroxide","For diphtheria.","Erythema , swelling, pain, induration, itching, myalgia, headache","NA","Combination (4 doses)","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_9_48_Td%20pur.pdf","NA","NA"
"1093","REPEVAX","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","From 3 years","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine.","Sanofi Pasteur","United Kingdom","2002","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Immunization against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing authorisation holder : Sanofi Pasteur Europe","European Medicine Agency","Aluminium phosphate","For pertussis, diphtheria and poliomyelitis.","Pain, redness, swelling, headache, diarrhoea, nausea, myalgia, fever, chills, ","NA","Single dose","NA","NA","NA","https://www.medicines.org.uk/emc/medicine/15256#gref","NA","NA"
"1094","Adacel Polio","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","4 years and older","Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine. ","Sanofi Pasteur Limited","Canada","2013","Approved","An obligate anaerobic bacillus, which is gram positive.","Seroprotective tetanus antitoxin levels were achieved in 100% of adults and adolescents and 100% of children.","Suspension for injection","Single dose of 0.5 mL.","Serum tetanus antitoxin level:\nat least 0.01 IU/mL: Minimum protection.","Intramuscular","Immunization against tetanus, diphtheria, pertussis and poliomyelitis.","NA","NA","Aluminium phosphate","For tetanus, diphtheria and poliomyelitis.","Redness, swelling, pain, tired, headache, generalized body ache and sore or swollen joints.","NA","Single dose","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00021710.PDF","NA","https://www.toronto.ca/community-people/health-wellness-care/diseases-medications-vaccines/diphtheria-tetanus-pertussis-and-polio-vaccines/"
"1095","Tripedia","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","6 weeks to 7 years","Diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur, Inc.","NA","1996","Approved","An obligate anaerobic bacillus, which is gram positive.","Reduces the risk of developing diphtheria and protection lasts around 10 years.","Suspension for injection","Three doses, gap of 4-8 weeks.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis simultaneously.","Distributed by Aventis Pasteur Inc. (AvP)","US FDA","Aluminium potassium sulphate","For tetanus and acellular pertussis.","Injection site reactions, fever, irritability, drowsiness and vomiting.","NA","Combination (3 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=354&keywords=","NA","NA"
"1096","Td Polio Adsorbed","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed and inactivated poliomyelitis vaccine.","Sanofi Pasteur Ltd","Canada","2010","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Primary immunisation - Three doses.\nBooster - 0.5 mL dose at 10 year interval."," Serum tetanus antitoxin level:\nat least 0.01 IU/mL : Minimum protective level","Intramuscular","Immunization against tetanus, diphtheria and poliomyelitis.","NA","NA","Aluminium phosphate","For tetanus and inactivated poliovirus.","Redness, tenderness, induration, swelling, pain, itchiness, muscle ache, headache, dizziness and malaise.","NA","Combination (4 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=629&keywords=","NA","https://pdf.hres.ca/dpd_pm/00012130.PDF"
"1097","Td Adsorbed","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed.","Sanofi Pasteur Ltd","Canada","2012","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Suspension for injection","Primary immunisation - Three doses.\nBooster- Single dose at 10 year interval.","Serum tetanus antitoxin level:\nat least 0.01 IU/mL: Minimum protective level\nat least 0.1 IU/mL : Protective\n1.0 IU/mL: Long term protection\n","Intramuscular","Immunization against tetanus and diphtheria.","NA","NA","Aluminium phosphate","For diphtheria also.","Pain, swelling, redness, fever, chills and sore joints.","NA","Combination (4 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=771&keywords=","NA","https://pdf.hres.ca/dpd_pm/00020609.PDF"
"1098","Tetanus Toxoid Adsorbed","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","7 years and older","Prevents the symptoms of tetanus.","Sanofi Pasteur Ltd","United States, Canada","NA","Approved","An obligate anaerobic bacillus, which is gram positive.","NA","Sterile suspension","Primary immunisation - Three doses.\nBooster- Single dose at 10 year interval.","NA","Intramuscular","Active immunization against tetanus.","NA","NA","Aluminium potassium sulphate","NA","Redness, pain, fainting, mild headache, mild vomiting, mild fussiness, irritability, crying, confusion, joint pain and body ache.","NA","Combination (4 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=631&keywords=","NA","https://www.rxlist.com/tetanus-toxoid-adsorbed-drug.htm#medguide"
"1099","Diphtheria and Tetanus Toxoids Adsorbed","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA"," 6 weeks to 6 years","Vaccine for diphtheria and tetanus.","Sanofi Pasteur Ltd","Canada","1997","Approved","An obligate anaerobic bacillus, which is gram positive.","Protective diphtheria and tetanus antitoxin levels developed in 100% of the recipients.","Suspension for injection","Five doses at  at 2, 4, 6, 15-18 months and between 4 and 6 years.","Serum tetanus antitoxin level of 0.01 IU/mL is minimum protective level.","Intramuscular","Immunization against diphtheria and tetanus.","Distributed by: Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","For diphtheria also.","Crying, redness, swelling, tenderness, fever, moderate or severe arm mobility and loss of appetite.","NA","Combination (5 doses)","NA","NA","NA","https://www.fda.gov/media/75962/download","NA","NA"
"1100","Vaxchora","Bacteria","Cholera","Vibrio cholerae","Live attenuated","DNA","2 to 64 years","Vibrio cholerae serogroup O1 vaccine.","Emergent Travel Health Inc.","United States","2016","Approved","Gram negative bacteria.","90.3% effective 10 days after vaccination and 79.5% effective 90 days after vaccination.","Lyophilized V. cholerae CVD 103-HgR.","Single liquid dose, 10 days before the potential exposure.","Exposure to V. cholerae causes an elevation in baseline vibriocidal antibody titers which results in immunity.","Oral","Not been shown to protect against disease caused by  V. cholerae serogroup O139 or other non-O1 serogroups.","Distributed by - Emergent Travel Health Inc., USA","US FDA","NA","NA","Tiredness, headache, abdominal pain, nausea, lack of appetite and diarrhoea.","To avoid eating or drinking for 60 minutes before and after oral ingestion.","Single dose","NA","NA","NA","https://www.fda.gov/media/128415/download","NA","NA"
